Designator,Mid X,Mid Y,Layer,Rotation
C1,69.000mm,32.000mm,Top,0.00
C2,96.000mm,32.000mm,Top,0.00
C3,69.000mm,62.000mm,Top,0.00
C4,96.000mm,62.000mm,Top,0.00
C5,69.000mm,92.000mm,Top,0.00
C6,96.000mm,92.000mm,Top,0.00
C7,88.000mm,122.000mm,Top,0.00
C8,96.000mm,122.000mm,Top,0.00
Q1,104.000mm,150.000mm,Top,0.00
Q2,126.000mm,150.000mm,Top,0.00
Q3,148.000mm,150.000mm,Top,0.00
Q4,170.000mm,150.000mm,Top,0.00
Q5,65.000mm,160.000mm,Top,0.00
R1,69.000mm,48.000mm,Top,0.00
R2,54.000mm,28.000mm,Top,0.00
R3,62.000mm,28.000mm,Top,0.00
R4,54.000mm,52.000mm,Top,0.00
R5,62.000mm,52.000mm,Top,0.00
R6,100.000mm,144.000mm,Top,0.00
R7,108.000mm,144.000mm,Top,0.00
R8,132.000mm,32.000mm,Top,0.00
R9,69.000mm,78.000mm,Top,0.00
R10,54.000mm,58.000mm,Top,0.00
R11,62.000mm,58.000mm,Top,0.00
R12,54.000mm,82.000mm,Top,0.00
R13,62.000mm,82.000mm,Top,0.00
R14,122.000mm,144.000mm,Top,0.00
R15,130.000mm,144.000mm,Top,0.00
R16,132.000mm,62.000mm,Top,0.00
R17,69.000mm,108.000mm,Top,0.00
R18,54.000mm,88.000mm,Top,0.00
R19,62.000mm,88.000mm,Top,0.00
R20,54.000mm,112.000mm,Top,0.00
R21,62.000mm,112.000mm,Top,0.00
R22,144.000mm,144.000mm,Top,0.00
R23,152.000mm,144.000mm,Top,0.00
R24,132.000mm,92.000mm,Top,0.00
R25,69.000mm,138.000mm,Top,0.00
R26,54.000mm,118.000mm,Top,0.00
R27,62.000mm,118.000mm,Top,0.00
R28,54.000mm,142.000mm,Top,0.00
R29,62.000mm,142.000mm,Top,0.00
R30,166.000mm,144.000mm,Top,0.00
R31,174.000mm,144.000mm,Top,0.00
R32,132.000mm,122.000mm,Top,0.00
R33,62.000mm,150.000mm,Top,0.00
R34,70.000mm,150.000mm,Top,0.00
U1,82.000mm,40.000mm,Top,0.00
U2,82.000mm,70.000mm,Top,0.00
U3,82.000mm,100.000mm,Top,0.00
U4,82.000mm,130.000mm,Top,0.00
